series_id,name_en,category,subcategory,product_role,actuation,pharma_relevance,pharma_applications,key_features,operating_pressure,media_temperature,sterilization_temperature,nominal_sizes,body_materials,seal_or_diaphragm_materials,connections,conformities,protocols,official_url,accessed_date,evidence_grade,notes
C60,Pneumatic 2/2-way diaphragm valve made of ultra pure plastic,Valve Technology,Diaphragm Valves,Pneumatic 2/2-way diaphragm valve made of ultra pure plastic,pneumatic,MEDIUM,,"All wetted parts made of PFA or PTFE | High flow rate with low-stress media channelling | Optional flow direction | Long service life based on test results and field experience | Ideally suited for corrosive media | Optional version with ECTFE union nut and/or with PFA-coated compression springs | Also available as T valve | Clean room production, fulfils SEMI F57",0 to 6 bar,-10 to 150 °C,,DN 4 to 50,"PFA PP-R, natural PVDF",PTFE/EPDM,Flare Flare SpaceSaver Nexus Connect® SpaceSaver PrimeLock® PrimeLock® SpaceSaver Spigot Super 300 Type Pillar® SpaceSaver Union end Welded-on Nexus Connect®,EAC FDA TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/c60,2026-06-09,A,"Official page description: The ultra pure 2/2-way diaphragm valve GEMÜ C60 CleanStar® has a plastic piston actuator and is pneumatically operated. A stroke limiter (not with AG 4) and an optical position indicator are integrated as standard. All media wetted parts are produced from PFA or PTFE (HPW version). For the HPS version, there is a choice of valve bodies made of PP-R, natural or PVDF. This High Purity version of the CleanStar® series complies with the strictest purity standards and boasts high chemical resistance. It can also be used with high media temperatures. As such, it is often used at the supply and distribution level in semiconductor factories."
D40,Pneumatic 2/2-way diaphragm valve made of metal,Valve Technology,Diaphragm Valves,Pneumatic 2/2-way diaphragm valve made of metal,pneumatic,HIGH,无菌主工艺、配液、纯化或卫生输送；CIP/SIP与蒸汽灭菌,"Low maintenance due to the firmly chambered diaphragm | Fast, safe and simple diaphragm and actuator mounting | Very high Kv values due to flow-optimised valve body | Valve can be configured for the respective process parameters | Identification of the angle of rotation (hash mark), optical position indicator and transparent cap as standard | Simple modular expansion possible with future-orientated automation components | Suitable for use in hygienic and aseptic applications (CIP/SIP capable and autoclavable)",0 to 16 bar,-10 to 100 °C,max. 150 °C,DN 10 to 40,"(316L), forging material 1.4435 (316L), block material 1.4435 (BN2), block material 1.4435 (BN2), forged material",PTFE/EPDM,Clamp Spigot,ATEX FDA Regulation (EC) No. 1935/2004 USP,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/d40,2026-06-09,A,"Official page description: The pneumatically actuated GEMÜ D40 diaphragm valve is designed for use in sterile applications. The diaphragm hermetically separates the actuator from the operating medium. All drive parts (except the sealing and design elements) are made of stainless steel. The control functions available are ""spring force closed"", ""spring force open"" and ""activated on both sides""."
D41,Pneumatic 2/2-way diaphragm valve made of metal,Valve Technology,Diaphragm Valves,Pneumatic 2/2-way diaphragm valve made of metal,pneumatic,HIGH,无菌主工艺、配液、纯化或卫生输送；CIP/SIP与蒸汽灭菌,"Suitable for use in hygienic and aseptic applications (CIP/SIP capable) | Fast, safe and simple diaphragm and actuator mounting via a central gearbox due to EasyLock technology | Low maintenance thanks to the encapsulated diaphragm, which requires no retightening | Very high Kv values due to flow-optimised valve body | Identification of the mounting angle (hash mark) | Optical position indicator and transparent cap as standard | Simple modular expansion possible with future-orientated automation components",0 to 10 bar,-10 to 100 °C,max. 150 °C,DN 10 to 40,"(316L), forging material 1.4435 (316L), block material",PTFE/EPDM,Clamp Spigot,ATEX FDA Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 USP,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/d41,2026-06-09,A,"Official page description: The pneumatically actuated GEMÜ D41 diaphragm valve is designed for use in sterile applications. The diaphragm hermetically separates the actuator from the operating medium. The GEMÜ D41 valve with EasyLock technology is mounted completely without any loose components via a central gearbox. All drive parts (except the sealing and design elements) are made of stainless steel. Normally Closed, Normally Open and Double Acting control functions are available."
R629,Electromotive 2/2-way diaphragm valve made of plastic,Valve Technology,Diaphragm Valves,Electromotive 2/2-way diaphragm valve made of plastic,motorized,MEDIUM,,Motorized linear actuator for open-close applications | Safety shut-down integrated | Integrated emergency power supply module (optional) | Standard optical position indicator and manual override | Self-locking spindle actuator | Electrical position indicator GEMÜ 1215 (optional),0 Up to 6 bar,-10 to 80 °C,,DN 12 to 65,"ABS Inliner PP-H, grey / outliner PP, reinforced Inliner PVDF/outliner PP, reinforced PP, reinforced PP-H, natural PVC-U, grey PVDF",EPDM FKM NBR PTFE/EPDM,Flange Flare Solvent cement socket Spigot thread Union end,ACS EAC FDA System 1+,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/r629,2026-06-09,A,Official page description: The GEMÜ R629 eSyLite 2/2-way diaphragm valve is motorized. It is available in an Open/Closed version. An integrated optical position indicator is standard. The self-locking actuator holds its position in a stable manner in the event of power supply failure.
R647,Pneumatic 2/2-way diaphragm valve made of plastic,Valve Technology,Diaphragm Valves,Pneumatic 2/2-way diaphragm valve made of plastic,pneumatic,MEDIUM,,"Suitable e. g. for dyeing plant, paper industry and automatic feeding installations | Operator solution without closing spring, ideal when space is limited | Compact, lightweight construction and high performance | Simple diaphragm replacement | Good flow characteristics due to flow optimised valve body",0 to 6 bar,-20 to 80 °C,,DN 15 to 50,ABS PP inliner / outliner PVC-U PVDF inliner,EPDM FKM NBR,Flange Spigot Union end,ACS EAC FDA System 1+,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/r647,2026-06-09,A,Official page description: The GEMÜ R647 2/2-way diaphragm valve is a straight through valve and is pneumatically operated. The valve doesn't have a closing spring and is only closed by applying compressed air. A diaphragm is the sealing element. The control medium applies direct pressure to the shut-off diaphragm pressing it against the shut-off weir in the valve body. The high-flow valve body provides compact dimensions at high flow rates.
R677,Manual 2/2-way diaphragm valve made of plastic,Valve Technology,Diaphragm Valves,Manual 2/2-way diaphragm valve made of plastic,manual,MEDIUM,,Compact system design due to flow-optimized high-flow valve bodies | Lockable handwheel optionally available | Position feedback optionally available | Integral optical position indicator,0 to 10 bar,-10 to 80 °C,,DN 15 to 100,"ABS Inliner PP-H, grey / outliner PP, reinforced Inliner PVDF/outliner PP, reinforced PP, reinforced PVC-U, grey PVDF",EPDM FKM NBR PTFE/EPDM,Flange Spigot Union end,ACS EAC FDA System 1+,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/r677,2026-06-09,A,Official page description: The GEMÜ R677 2/2-way diaphragm valve has a low maintenance plastic actuator and is manually operated. An integrated optical position indicator is standard. The high-flow valve body provides compact dimensions at high flow rates.
R690,Pneumatic 2/2-way diaphragm valve made of plastic,Valve Technology,Diaphragm Valves,Pneumatic 2/2-way diaphragm valve made of plastic,pneumatic,MEDIUM,,Compact system design due to flow-optimized high-flow valve bodies | Reduced control air consumption | Modified spring sets available for applications with reduced control pressure | Position indicator and positioner optionally available | Closing stroke limiter optionally available,0 to 10 bar0 to 150 psi,-10 to 80 °C14 to 176 °F,,"DN 15 to 1001/2"" (DN 15) to 4"" (DN 100)","ABS Inliner PP-H, grey / outliner PP, reinforced Inliner PVDF/outliner PP, reinforced PP, reinforced PVC-U, grey PVDF",EPDM FKM NBR PTFE/EPDM,Flange Spigot Union end Flange Spigot Union end,ACS EAC FDA NSF System 1+,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/r690,2026-06-09,A,"Official page description: The GEMÜ R690 2/2-way diaphragm valve has a low maintenance membrane actuator and is pneumatically operated. Normally Closed (NC), Normally Open (NO) and Double Acting (DA) control functions are available. The high-flow valve body provides compact dimensions at high flow rates."
Q30,Pneumatically actuated pinch valve with plastic piston actuator,Valve Technology,Pinch Valves,Pneumatically actuated pinch valve with plastic piston actuator,pneumatic,LOW,无菌主工艺、配液、纯化或卫生输送,"Fast, safe tube replacement | Minimized strain on the tube due to the optimized compressor | Simple replacement of inserts and compressors for various tube sizes with the same actuator | Lightweight plastic piston actuator, free from non-ferrous metals | High quality and long service life | Positioners and process controllers can be mounted | Several installation options possible in the plant thanks to the mounting flange or female thread on the body","max. 6 bar, Please observe the tube manufacturer's specifications",Please observe the tube manufacturer's specifications,,,1.4404 1.4404/PA6,,,EAC Machinery Directive,,https://www.gemu-group.com/en/products/valve-technology/pinch-valves/q30,2026-06-09,A,"Official page description: The GEMÜ Q30 2/2-way pinch valve has a plastic piston actuator and is pneumatically operated. The valve guides a tube which is compressed from above by a compressor to control and regulate media. The compressor's specially developed contour and the tube holder's contour minimize the strain on the tube and thus increase the tubes' service life. Tubes can be safely inserted and removed in simple steps and without tools. The available control functions are ""normally closed (NC)"" and ""normally open (NO)"". An integral optical position indicator is standard."
Q40,Pneumatic pinch valve with stainless steel piston actuator,Valve Technology,Pinch Valves,Pneumatic pinch valve with stainless steel piston actuator,pneumatic,MEDIUM,,"Fast, safe tube replacement | Minimized strain on the tube due to the optimized compressor | Simple replacement of inserts and compressors for various tube sizes with the same actuator | Resistant stainless steel piston actuator, free from non-ferrous metals | High quality and long service life | Positioners and process controllers can be mounted | Several installation options possible in the plant thanks to the mounting flange or female thread on the body","max. 6 bar, Please observe the tube manufacturer's specifications",Please observe the tube manufacturer's specifications,,,1.4404 1.4404/PA6,,,EAC Machinery Directive,,https://www.gemu-group.com/en/products/valve-technology/pinch-valves/q40,2026-06-09,A,"Official page description: The GEMÜ Q40 2/2-way pinch valve has a stainless steel piston actuator and is pneumatically operated. The valve guides a tube which is compressed from above by a compressor to control and regulate media. The compressor's specially developed contour and the inserts' contour minimize the strain on the tube and thus increase the tubes' service life. Tubes can be safely inserted and removed in simple steps and without tools. The available control functions are ""normally closed (NC)"" and ""normally open (NO)"". An integral optical position indicator is standard."
Q51,Electromotive pinch valve,Valve Technology,Pinch Valves,Electromotive pinch valve,motorized,LOW,,"Fast, safe tube replacement | Minimized strain on the tube due to the optimized compressor | Position indicator for precision control applications | Tube replacement about digital interface | On-site end position programming | Simple replacement of inserts and compressors for various tube sizes with the same actuator | Several installation options possible in the plant thanks to the mounting flange or female thread on the body","max. 4,5 bar, Please observe the tube manufacturer's specifications",,,,1.4404 1.4404/PA6,,,,,https://www.gemu-group.com/en/products/valve-technology/pinch-valves/q51,2026-06-09,A,Official page description: The GEMÜ Q51 2/2-way pinch valve is a electrically operated as a positioner. The valve guides a tube which is compressed from above by a compressor to control and regulate media. The compressor's specially developed contour and the tube holder's contour minimize the strain on the tube and thus increase the tubes' service life. Tubes can be safely inserted and removed in simple steps and without tools.
560,Metal non-return valve,Valve Technology,Pressure Control Valves Check Valves And Strainers,Metal non-return valve,,MEDIUM,,High flow rates due to angle seat design | Seven different connection codes for worldwide use | Suitable for use with liquid media,"0,2 to 25 bar",-10 to 180 °C,,DN 6 to 50,"1.4408, investment casting material 1.4435 (BN2), forged material 1.4435, investment casting material",PFA PTFE,Clamp Flange Spigot Threaded connection,ATEX EAC FDA RoHS,,https://www.gemu-group.com/en/products/valve-technology/pressure-control-valves-check-valves-and-strainers/560,2026-06-09,A,Official page description: The GEMÜ 560 check valve comprises an angle seat valve body in stainless steel. The valve has either a PTFE or PFA seat for tight shut off. The valve is available with various connection types. The valve is available with various connection types.
